qualifierId;Englez?;DESCRIPTION;ASSOCIATED EVENT typeId VALUES;Qualifier Category;Name
19;35+ Centre;A defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;35+ Centru
20;Right footed;"The action is made with the player's right foot
                    Note: This can be shown for 'Live' data (for example, for eventTypeId '13'). However, from June 2020 it can also be added 'Post-match' to all 'touch' events if applicable, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";13, 14, 15, 16;Body Part;Dreptul
21;Other body part;"The action is made with a different body part to the player's head or feet - for example, using their knee or chest
                    Note: This can be shown for 'Live' data (for example, for eventTypeId '13'). However, from June 2020 it can also be added 'Post-match' to all 'touch' events if applicable, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";10, 13, 14, 15, 16, 61, 73;Body Part;Alt? parte a corpului
22;Regular play;The event occurred in open play (not from a set play situation);1, 13, 14, 15, 16;Possesion Type;Joc deschis
23;Fast break;The event occurred in open play and part of/following a fast break situation;1, 2, 3, 4, 13, 14, 15, 16, 50, 61;Possesion Type;Contraatac
24;Set piece;"The event occurred following a free kick (not a directly-struck deadball).
                      Note: A first time shot following a 'Tap' pass will be set to 'Free kick' (ID 26) instead of 'Set piece'";1, 13, 14, 15, 16;Set-Piece Type;Faz? fix?
25;From corner;The event occurred following a corner;1, 13, 14, 15, 16;Set-Piece Type;Corner
26;Free kick;A shot direct from a free kick (deadball struck directly) or first time shot following a “Tap” pass;13, 14, 15, 16, 65;Set-Piece Type;Lovitur? liber?
28;Own Goal;"Indicates a goal event was an own goal.
                    Note: Use the inverse coordinates of the goal location";16;Own Goal;Autogol
29;Assisted;Indicates that there was a shot or missed chance that was assisted - that is, there was a pass (assist) from another player to set up the goal opportunity;13, 14, 15, 16, 60;Shot Asisst;Asistat
31;Yellow Card;The person is given a yellow card;17;Card;Cartona? galben
32;Second yellow;The person is given a second yellow card;17;Card;Al doilea galben
33;Red Card;The person is given a straight red card;17, 65;Card;Cartona? ro?u
34;Referee abuse;A card is given to a person because of their abuse towards a match official;4;Card Reason;Abuz al arbitrului
35;Argument;A card is given for arguing;17;Card Reason;Argument
36;Violent Conduct;A card is given for violent conduct;17;Card Reason;Conduit? violent?
37;Time wasting;A card is given for time wasting;17;Card Reason;Pierdere de timp
38;Excessive celebration;A card is given for excessively celebrating a goal;17;Card Reason;Celebrare excesiv?
39;Crowd interaction;A card is given because of contact or communication with the crowd;4;Card Reason;Interac?iunea cu mul?imea
40;Other reason;A card/match delay/contentious decision is given for some other/unspecified reason - added to cards if applicable only in very rare exceptions;17, 27, 65, 75;Card Reason;Alt motiv
42;Tactical;A substitution occurs for tactical reasons;18, 19;Substitution Reason;Tactic
43;Deleted event;"An event has been deleted from the game file; usually, qualifierId 144 (Deleted Event Type) is present to describe the type of event that has been deleted and its value will give the event type ID for the previous instance of the event.
                    Note: The event instance will also carry an event id value. The event ID is unique to each event instance - in this case, it is a reference for the event instance previously recorded in the feed. Therefore, the event ID remains the same in all instances, but the event type ID will be different.
                    If you store feed samples, you will be able to use the event ID (the database ID) to cross-reference which specific event instance concerned - if you don't, this is not possible. Once we delete an event, the associated event's data will be removed from the feed.";;Deleted event;Eveniment eliminat
52;Possession time;;26;Possesion Duration;Timpul de posesie
58;Temp stop status;;29;N/A;Starea de oprire temporar?
60;Small box - Right;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Careul mic - Dreapta
61;Small box - Left;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Careul mic - Stânga
62;Box - Deep Right;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Careu - Dreapta adânc
63;Box - Right;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Careu - Dreapta
64;Box - Left;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Careu - Stânga
65;Box - Deep Left;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Careu - Stânga adânc
66;Out of box - Deep Right;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;În afara careului - Dreapta adânc
67;Out of box - Right;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;În afara careului - Dreapta
68;Out of box - Left;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;În afara careului - Stânga
69;Out of box - Deep Left;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;În afara careului - Stânga adânc
70;35+ Right;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;35+ Dreapta
71;35+ Left;Defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;35+ Stânga
72;Left footed;"The action is performed with the left foot
                    Note: This can be shown for 'Live' data (for example, for eventTypeId '13'). However, from June 2020 it can also be added 'Post-match' to all 'touch' events if applicable, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";13, 14, 15, 16;Body Part;Stângul
73;Left;"Indicates that: a corner is taken from the attacking left side; an off-target shot goes to the left of the goal or hits the left post; a goalkeeper facing a penalty dives to their left";6, 13, 14, 58;Side;Stânga
74;High;"Indicates that: a goal kick is launched high into the air; an off-target shot goes over the goal or hits the crossbar";1, 13, 14;Side;Sus
75;Right;"Indicates that: a corner is taken from the attacking right side; an off-target shot goes to the right of the goal or hits the right post; a goalkeeper facing a penalty dives to their right";6, 13, 14, 58;Side;Dreapta
76;Low Left;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;15, 16;Goal Zone;Stânga jos
77;High Left;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;13, 15, 16;Goal Zone;Stânga sus
78;Low Centre;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;15, 16;Goal Zone;Centru jos
79;High Centre;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;15, 16;Goal Zone;Centru sus
80;Low Right;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;15, 16;Goal Zone;Drepta jos
81;High Right;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;13, 15, 16;Goal Zone;Drepta sus
82;Blocked;The shot is blocked;15;Shot Type;Blocat
83;Close Left;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;13;Goal Zone;Stânga aproape
84;Close Right;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;13;Goal Zone;Dreapta aproape
85;Close High;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;13;Goal Zone;Aproape sus
86;Close Left and High;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;13;Goal Zone;Stânga aproape ?i sus
87;Close Right and High;Defined zone of the goalmouth where a shot goes/is aimed towards. See: Appendix 2 - Goalmouth coordinates;13;Goal Zone;Dreapta aproape ?i înalt
88;High claim;The goalkeeper attempts to claim a high ball;11;GK Action;Prins? sus
89;1 on 1;A player was in a 'one-on-one' situation with the opposition goalkeeper when they took a shot or missed a chance to shoot;13, 14, 15, 16, 60;Shot Situation;1 la 1
90;Deflected save;"Note - October 2019: No longer collected as of June 2016
                    For event typeId 10 ('Save'): When the goalkeeper saves a shot but does not catch the ball";13, 14, 15, 16;Save Type;Parad? deviat?
91;Dive and deflect;"Note - October 2019: No longer collected as of June 2016
                    For event typeId 10 ('Save'): When the goalkeeper saves a shot while diving but does not catch the ball";13, 14, 15, 16;Save Type;S?ritur? ?i deviere
92;Catch;"Note - October 2019: No longer collected as of June 2016
                    For event typeId 10 ('Save'): When the goalkeeper saves a shot and catches it";13, 14, 15, 16;Save Type;Prindere
93;Dive and catch;"Note - October 2019: No longer collected as of June 2016
                    For event typeId 10 ('Save'): When the goalkeeper saves a shot while diving and catches it.";13, 14, 15, 16;Save Type;S?ritur? ?i prindere
94;Def block;A shot is blocked by an outfield player/defender.;10;Defensive Action;Blocaj defensiv
95;Back pass;A free kick is awarded for a deliberate back pass (illegal pass) that is picked up or handled by the goalkeeper.;4;Infraction Type;Pas? înapoi
96;Corner situation;"Note - October 2019: No longer used
                    'Pass' or 'Shot' event in a 'Corner' situation. Event typeId 25 is used when the goal is direct from corner and qualifierId 96 relates to 2nd phase attack.";13, 14, 15, 16;Shot Situation;Corner
97;Direct free;"This qualifier is only used with Opta GoalData (game system 4) but not with full data; qualifierId 26 will be used for a shot directly from a free kick.";1;N/A;Liber direct
100;Six Yard Blocked;The shot is blocked on the six-yard line;15;Block Position;Blocat în ?ase metri
101;Saved Off Line;The shot is cleared off the line by an opposition outfield player/defender, preventing a goal;15;Block Position;Scoas? de pe linie
106;Attacking Pass;"Note - October 2019: No longer collected as of June 2016
                    A pass in the opposition's half of the pitch";13, 14, 15, 16;N/A;Pas? ofensiv?
107;Throw in;The pass was a throw-in;1;Pass Type;Aruncare de la margine
108;Volley;The shot was a volley (the ball does not bounce before the shot);13, 14, 15, 16;Shot Movement;Voleu
109;Overhead;"Note - October 2019: No longer collected as of June 2017
                    The shot was an overhead kick";13, 14, 15, 16;Shot Movement;Peste cap
110;Half Volley;"Note - October 2019: No longer used
                    Shot on the half volley (hit immediately after the ball bounces)";13, 14, 15, 16;Shot Movement;Demi-voleu
111;Diving Header;"Note - October 2019: No longer used
                    Shot where the player dives to head the ball";13, 14, 15, 16;Shot Movement;Lovitur? de cap plonjon
112;Scramble;"Note - October 2019: No longer used
                    Goal where there was a scramble for possession of the ball and the defence had an opportunity to clear";13, 14, 15, 16;Shot Movement;Aglomerare
113;Strong;The shot was subjectively judged to have been hit strongly by the player;13, 14, 15, 16;Shot Strength;Puternic
114;Weak;The shot was subjectively judged to have been hit weakly by the player;13, 14, 15, 16;Shot Strength;Slab
115;Rising;"Note - October 2019: No longer collected as of June 2016
                    Shot was rising in the air";13, 14, 15, 16;Shot Ball Movement;În cre?tere
116;Dipping;"Note - October 2019: No longer collected as of June 2016
                    Shot was dipping towards the ground";13, 14, 15, 16;Shot Ball Movement;În c?dere
117;Lob;"Note - October 2019: No longer collected as of June 2017
                    The shot lobbed/attempted to lob the opposition goalkeeper";13, 14, 15, 16;Shot Ball Movement;Lob
118;One Bounce;"Note - October 2019: No longer used
                    Shot where the ball bounced once on its way towards the goal";13, 14, 15, 16;Shot Ball Movement;O s?ritur?
119;Few Bounces;"Note - October 2019: No longer used
                    Shot where the ball bounced once on its way towards the goal";13, 14, 15, 16;Shot Ball Movement;Câteva s?rituri
120;Swerve Left;A shot which swerves to the left - from the perspective of the attacker;13, 14, 15, 16;Shot Ball Movement;Efect stânga
121;Swerve Right;A shot which swerves to the right - from the perspective of the attacker;13, 14, 15, 16;Shot Ball Movement;Efect dreapta
122;Swerve Moving;A shot which swerves, with the ball moving in several/different directions;13, 14, 15, 16;Shot Ball Movement;Efect în mi?care
123;Keeper Throw;The goalkeeper throws out the ball - describes a 'Pass' event;1, 2;Pass Type;Aruncarea portarului
124;Goal Kick;"A goal kick is taken (following an out; not from hands or open play) - describes a 'Pass' event";1;Pass Type;Aut de poart?
128;Punch;Save by goalkeeper where they punch the ball;10, 11, 12;Save Type;Pumn
129;Ten Minute Possession;Note - October 2019: No longer used;26;Possession;Posesie de zece minute
132;Simulation;Free kick or card given to penalise a player for simulation - for example, a dive;4, 17;Infraction Type;Simulare
133;Deflection;The shot took a deflection - for example, off another player;13, 14, 15, 16;Shot Details;Deviere
134;Far Wide Left;Note - October 2019: This qualifier is no longer used;;N/A;Departe la stânga
135;Far Wide Right;Note - October 2019: This qualifier is no longer used;;N/A;Departe la dreapta
136;Keeper Touched;A goal was scored, but the goalkeeper got a touch on the ball;16;Goal Details;Atins de portar
137;Keeper Saved;The shot was going off target - for example, the shot was going wide or over the goal - but it was collected/saved by the goalkeeper anyway. This can appear with event typeId 10, 13 and 15, 458.;10, 13;GK Action;Parat? de portar
138;Hit Woodwork;Added to any event where the ball hits the post or crossbar - Note: This does not include 'Post' events);1, 3, 8, 12, 13, 15, 16, 58, 61;Pass Details;Bara lovit?
139;Own Player;The shot was saved by goalkeeper that was deflected by a defender/teammate;10, 15;Shot Details;Juc?tor propriu
142;Flag to Checker;Note - October 2019: No longer used;;N/A;Steag la Checker
143;Star Rating;Note - October 2019: No longer used;;N/A;Star Rating
148;Danger;Note - October 2019: No longer used;;N/A;Pericol
149;Inside;Note - October 2019: No longer used;;N/A;Interior
150;Outside;Note - October 2019: No longer used;;N/A;Afar?
151;Short;Note - October 2019: No longer used;;N/A;Scurt
152;Direct;A direct free kick;1, 2, 4;Pass Details;Direct
153;Not past goal line;An off-target shot (missed shot) that fails to go past the goal line;13;Shot Details;Nu dep??e?te linia por?ii
154;Intentional Assist;A pass that creates a goal scoring chance. (for example, a cross into the box or a through ball that sends an attacker on goal);1, 13, 14, 15, 16, 60;Assist Type;Pas? inten?ionat?
155;Chipped;A pass which was chipped/played through the air;1;Pass Type;Înalt?
156;Lay-off;A pass where player passed the ball into the path of a teammate's run;1;Pass Type;L?sat?
157;Launch;A pass is played from a player's own half up towards players at the front, aimed towards a zone rather than a specific player;1;Pass Type;Degajare
158;Persistent Infringement;A card is given to a player for committing persistent fouls;17;Infraction Type;Infrac?iune persistent?
159;Foul and Abusive Language;A card is given to a player for persistent foul and abusive language;17;Infraction Type;Fault ?i limbaj abuziv
160;Throw-in set piece;The shot/pass came from a throw in (followed a set piece);1, 13, 14, 15, 16;Set-Piece Type;Aut Faz? fix?
161;Encroachment;A card is given for encroachment (to a player who moves within 10 yards of their opponent's free kick);17;Infraction Type;Ie?it din zid
162;Leaving field;A card is given to a player for leaving the field without permission;17;Infraction Type;Ie?it din teren
163;Entering field;A card is given to a player for entering the field during play without the referee's permission;17;Infraction Type;Intrat în teren
164;Spitting;A card is given to the player for spitting;17;Infraction Type;Scuipat
165;Professional Foul Last Man;A card is given to a player for a deliberate tactical foul;17;Infraction Type;Fault ca ultim ap?r?tor
166;Professional Foul Handball;A card is given to the (outfield) player for deliberate handball/using their hand intentionally to keep the ball out of the goal;17;Infraction Type;Fault hen?
167;Out of play;The tackle or clearance results in the ball going out of play;7, 12, 65;Outcome;Aut
168;Flick-on;A pass where a player has 'flicked' the ball forward towards a teammate using their head;1;Pass Type;Deviere cu capul
169;Leading to attempt;A player error led to an opposition shot on goal (not scored);51;Error Type;Conduce la ?ut
170;Leading to goal;A player error led to an opposition goal;51;Error Type;Conduce la gol
171;Rescinded Card;"Note - October 2019: No longer used
                    The referee rescinds a card after the match has finished (red card is rescinded/overturned)";17;N/A;Cartona? anulat
173;Parried safe;The goalkeeper saves the shot and parries the ball to safety;10;Save Type;Parat sigur
174;Parried danger;The goalkeeper saves the shot and parries the ball into a dangerous area (for example, the ball is parried to another opponent);10;Save Type;Parat în pericol
175;Fingertip;The goalkeeper saves the shot using their fingertips;10;Save Type;Cu vârful degetelor
176;Caught;The goalkeeper saves the shot by catching the ball;10;Save Type;Prins
177;Collected;The goalkeeper makes a save by collecting the ball (from a shot travelling along the ground);10;Save Type;Colectat
178;Standing;"Player involved in the event is standing. 
                    Note: This can be shown for 'Live' data (for example, for eventTypeIds '10' and '58'). However, from June 2020 it can also be added 'Post-match' to all 'touch' events if applicable, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";10, 58;Save Stance;În picioare
179;Diving;"The goalkeeper makes a save or faces a penalty and dives for the ball.
                    Note: This can be shown for 'Live' data (for example, for eventTypeIds '10' and '58'). However, from June 2020 it can also be added 'Post-match' to all goalleeper 'touch' events if applicable, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";10, 58;Save Stance;Plonjat
180;Stooping;The goalkeeper makes a save while stooping over;10;Save Stance;Ridicarea
181;Reaching;The goalkeeper makes a save by reaching for the ball;10;Save Stance;Atingere
182;Hands;The goalkeeper makes a save with their hand(s);10;Save Body Part;Mâini
183;Feet;The goalkeeper makes a save using their foot/feet;10;Save Body Part;Picioare
184;Dissent;A card or free kick is given for dissent towards a match official - for example, when a player does not obey the referee's instructions;4, 17;Infraction Type;Lips? de respect
185;Blocked cross;The defending player blocks an attempted cross by an opponent;12;Defensive Action;Centrare blocat?
186;Scored;The goalkeeper faces a penalty and does not save it, resulting in a goal (penalty shot scored);58;Penalty Faced Outcome;Gol marcat
187;Saved;The goalkeeper faces a penalty and saves it (penalty shot saved);58;Penalty Faced Outcome;Parat
188;Missed;The goalkeeper faces a penalty and the shot went wide or over - it did not require a save (penalty shot missed);58;Penalty Faced Outcome;Ratat
189;Not visible;The event occurred off camera and was not seen by the analyst (usually due to a replay being shown);1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 27, 28, 30, 40, 41, 44, 45, 49, 50, 51, 52, 55, 57, 61, 65, 67, 68, 69, 74;Off Camera;Nu se vede
190;From shot off target;The goalkeeper saves a shot that was not on target - for example, the shot was going wide or over (off target);10;Save Type;Din ?ut pe lâng?
191;Off the ball foul;Foul committed by and on a player who is not in possession of the ball;17;Infraction Type;Fault departe de minge
192;Block by hand;An outfield player blocks a shot with their hand;15;Shot Details;Blocat cu mâna
193;Goal measure;"Note - October 2019: No longer used (collected from 2013-2015)
                     A subjective measure used to rate the quality of the goal (essentially a Goal Rating from 1-5), but it is only used for a limited about of competitions.";16;N/A;Nota golului
195;Pull back;The player in the opposition's penalty box reaches the by-line and passes (cuts) the ball backwards towards a teammate;1;Pass Direction;Pas? înapoi
196;Switch of play;Any pass which crosses the centre zone of the pitch and in length is greater than 60 on the y axis of the pitch;1;Pass Direction;Schimbare de direc?ie
198;GK hoof;The goalkeeper drops the ball on the ground and kicks it long towards a position/area, rather than a specific player;1;Pass Details;Degajare portar
199;GK kick from hands;The goalkeeper kicks the ball forward, straight out of their hands;1;Pass Details;Degajare din mân? portar
200;Referee stop;The referee stops play;27;Referee Action;Oprire arbitru
201;Referee delay;Indicates a delay (interruption/stoppage) in play that has been instructed by the referee;27;Referee Action;Întârziere arbitru
202;Weather problem;Indicates a delay (interruption/stoppage) in play due to adverse weather conditions;27, 75;Delays;Probleme meteorologice
203;Crowd trouble;Indicates a delay (interruption/stoppage) in play due to to crowd trouble;27, 75;Delays;Probleme cu publicul
204;Fire;A fire in the stadium grounds stops or delays play;27;Delays;Incendiu
205;Object thrown on pitch;Indicates a delay (interruption/stoppage) in play because an object has been thrown onto the pitch;27;Delays;Obiect aruncat pe teren
206;Spectator on pitch;Indicates a delay (interruption/stoppage) in play because a spectator has come onto the pitch;27;Delays;Spectator pe teren
207;Awaiting official's decision;Indicates a delay (interruption/stoppage) in play because the referee still has to make a decision before the match can resume;27;Delays;A?teptarea deciziei oficialului
208;Referee injury;Indicates a delay (interruption/stoppage) in play because the referee/a match official has sustained an injury;27;Delays;Arbitru accidentat
209;Game end;Signifies the related 'End' event (Event Type ID 30) is at the end of the match;30;End;Sfâr?itul jocului
211;Overrun;A player attempting to take on an opponent overhits the ball and it runs away from them out of play or to an opponent;3;Ball Control;Dribling pe în fa??
214;Big chance;A shot was subjectively judged by analysts to be an excellent goal-scoring opportunity and the player should have scored - a clear cut chance, such as a '1 on 1'. Includes where the shot resulted in a miss, hit post/woodwork, save, or goal.;13, 14, 15, 16;Shot Details;?ans? mare
215;Individual play;The player took a shot and created this chance by themselves. For example, they dribbled to create space for themselves and took a shot.;13, 14, 15, 16;Shot Details;Joc individual
217;2nd assisted;Indicates that this shot had a significant pass to create the opportunity for the pass which led to a goal;16;Shot Details;Asistat de a doua pas?
218;2nd assist;The pass was deemed a 2nd assist - it created the opportunity for another player to assist a goal;1;Assist Type;A doua pas?
219;Players on both posts;"Indicates that the team defending the corner had players on both posts when the corner was taken
                    Note:
                    • This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post
                    • This is a qualifierId that previously existed and was retired, but has been reinstated (August 2020)";6;Corner Defensive Shape;Juc?tori pe ambii stâlpi
220;Player on near post;"Indicates that the team defending the corner had a player on only the near post when the corner was taken
                    Note:
                    • This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post
                    • This is a qualifierId that previously existed and was retired, but has been reinstated (August 2020)";6;Corner Defensive Shape;Juc?tor pe prima bar?
221;Player on far post;"Indicates that the team defending the corner had a player on only the far post when the corner was taken
                    Note:
                    • This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post
                    • This is a qualifierId that previously existed and was retired, but has been reinstated (August 2020)";6;Corner Defensive Shape;Juc?tor pe a doua bar?
222;No players on posts;"Indicates that the team defending the corner had no players on either post when the corner was taken
                    Note:
                    • This qualifier will only be visible if the match is re-analysed within 24 hours of the match end time and date. Collection type: Post
                    • This is a qualifierId that previously existed and was retired, but has been reinstated (August 2020)";6;Corner Defensive Shape;Niciun juc?tor pe stâlpi
223;In-swinger;"The corner was crossed into the box swerving towards the goal (in-swinging)
                    Note: This can be shown for 'Live' data (for example, for eventTypeId '1'). However, from June 2020 it can also be added 'Post-match' to all 'touch' events if applicable, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";1;Corner Direction;Efect interior
224;Out-swinger;"The corner was crossed into the box swerving away from the goal (out-swinging)
                    Note: This can be shown for 'Live' data (for example, for eventTypeId '1'). However, from June 2020 it can also be added 'Post-match' to all 'touch' events if applicable, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";1;Corner Direction;Efect exterior
225;Straight;"The corner was crossed into the box where the ball flight was straight (without swing)
                    Note: This can be shown for 'Live' data (for example, for eventTypeId '1'). However, from June 2020 it can also be added 'Post-match' to all 'touch' events if applicable, but only for some competitions. When added as a post-match qualifier it is only shown once the post-match analysis is complete.";1;Corner Direction;Drept
226;Suspended;The game has not finished but is suspended;27;Game Suspension;Suspendat
228;Own shot blocked;The player unintentionally/accidentally blocks an attacking shot from their teammate;61;Touch;?ut propriu blocat?
229;Post match complete;Collection has finished, the game has been reviewed, and post-match checks and quality control have been completed;37;Other Event Qualifier;Verificare complet?
232;Unchallenged;The goalkeeper smothers the ball and is unchallenged by an opponent;54;GK Action;Necontestat
234;Home Team Possession;"Note - October 2019: This qualifier is associated with event typeId 66 which is no longer recorded in the feed. We will update this record shortly to confirm if this qualifierId could appear in the output.
                    Possession % (percentage) in last 5 mins";66;Possession;Posesia echipei gazd?
235458;Away Team Possession;"Note - October 2019: This qualifier is associated with event typeId 66 which is no longer recorded in the feed. We will update this record shortly to confirm if this qualifierId could appear in the output.
                    Possession % (percentage) in last 5 mins";66;Possession;Posesia echipei adverse
236;Blocked pass;Assigned to a 'Pass' to indicate it was blocked by an opponent in close proximity. It is similar to an 'Interception' event but the player was already very close to ball, instead of a touch event in the past.;1;Defensive Action;Pas? blocat?
237;Low;Indicates a low goal kick;1;Goal Kick Height;Jos
238;Fair Play;Indicates the ball was deliberately put out of play or returned to the opposition for fair play - for example, as following an injury;1, 61;Fair Play;Fair Play
239;By Wall;A block was made by the wall in a free kick situation. It often appears alongside Qualifier IDs 94 (Def Block - indicates shot is blocked by an outfield player), 56 (Zone), and 233 (Opposite related event ID - gives the ID of the corresponding related event, to get the ID of the involved outfield player);10;Defensive Action;De zid
240;GK Start;Automated Qualifier which appears on all goalkeeper (GK) Pass events after the keeper collects ball with their hands and then puts it on the ground;1;Pass Details;Start portar
241;Indirect;Indicates that the free kick was indirect;1, 2, 4;Free Kick Details;Indirect
242;Obstruction;The foul committed was for obstruction;4;Infraction Type;Obstruc?ie
243;Unsporting behaviour;A card is given to the player for unsporting behaviour;17;Infraction Type;Comportament nesportiv
244;Not Retreating;A card is given to the player for not retreating to an appropriate distance away for a set-piece situation, such as a free kick or goal kick;17;Infraction Type;Nu se retrage
245;Serious Foul;A card is given to a player for committing a serious foul;17;Infraction Type;Fault grav
246;Drinks Break;The game/play is delayed due to a drinks break;27;Delays;Pauz? de hidratare
247;Offside;Indicates a contentious referee decision relating to offside - for example, giving or not giving an offside decision;65;CRD;Offside
248;Goal line;Indicates a contentious referee decision relating to the ball crossing the goal line - for example, giving or not giving a goal;65;CRD;Linia por?ii
249;Temp Shot On;A shot has occurred but it is pending additional detail qualifiers from Opta;13, 14, 15, 16;N/A;?ut temporar
250;Temp Blocked;A block has occurred but it is pending additional detail qualifiers from Opta;13, 14, 15, 16;N/A;?ut blocat temporar
251;Temp Post;A shot has hit the post but it is pending additional detail qualifiers from Opta;13, 14, 15, 16;N/A;?ut în bar? temporar
252;Temp Missed;A shot has missed but it is pending additional detail qualifiers from Opta;13, 14, 15, 16;N/A;Ratare temporar?
253;Temp Miss Not Passed Goal Line;A shot has missed but not gone past the end/goal line but it is pending additional detail qualifiers from Opta;13, 14, 15, 16;N/A;Ratare în aut lateral temporar?
254;Follows a Dribble;A goal followed a dribble by the goalscorer;16;Goal Details;Urmeaz? un dribling
255;Open Roof;"Indicates that the roof of the stadium is open
                    Note: No longer used";24;N/A;Acoperi? deschis
